"","ses","vol","NZMean_1","NZcount_1","NZSigma_1","peak"
"1","11668_1_20240620",2,43.347021,226,19.830877,2
"2","11734_1_20221111",2,76.263842,179,35.999122,2
"3","11823_1_20230718",2,46.237952,62,8.337315,2
"4","11877_1_20220902",2,52.221214,327,53.34357,2
"5","11878_1_20220823",2,7.67083,90,5.906283,2
"6","11880_1_20220901",2,12.303062,32,3.215493,2
"7","11882_1_20220830",2,14.659708,146,8.421453,2
"8","11883_1_20220913",2,35.317705,234,16.147211,2
"9","11884_1_20220920",2,37.239486,292,30.691122,2
"10","11885_1_20220930",2,37.129597,111,14.6295,2
"11","11886_1_20221129",2,67.886475,63,22.957001,2
"12","11888_1_20221012",1,31.324251,329,25.794507,1
"13","11889_1_20221103",2,51.33258,213,37.755305,2
"14","11891_1_20221220",2,48.496211,293,54.06224,2
"15","11892_1_20221110",2,39.650749,104,15.651927,2
"16","11893_1_20221215",2,32.895705,12,42.471679,2
"17","11894_1_20221027",2,65.434122,280,31.456163,2
"18","11895_1_20230202",2,12.506382,33,46.443222,2
"19","11896_1_20221214",2,35.114542,110,16.757741,2
"20","11897_1_20221025",2,39.397955,110,20.923147,2
"21","11899_1_20221208",2,35.412461,133,24.438496,2
"22","11900_1_20221209",2,44.484151,98,17.447627,2
"23","11902_1_20221216",2,50.499935,232,26.816354,2
"24","11903_1_20221222",2,47.274291,185,31.265827,2
"25","11904_1_20230113",2,56.154534,160,22.531934,2
"26","11905_1_20230113",7,20.159178,111,12.087272,7
"27","11906_1_20230110",2,24.102901,268,39.201887,2
"28","11907_1_20230117",8,22.690142,255,15.706794,8
"29","11908_1_20230210",2,47.385493,17,9.432045,2
"30","11911_1_20230131",2,73.693362,74,21.209021,2
"31","11912_1_20230207",2,59.99703,96,17.446235,2
"32","11913_1_20230307",2,7.282194,402,29.310605,2
"33","11915_1_20230316",2,30.659083,96,20.297605,2
"34","11916_1_20230310",2,61.758717,181,22.949937,2
"35","11917_1_20230303",2,46.736925,204,29.771521,2
"36","11919_1_20230224",2,18.231765,52,17.980784,2
"37","11922_1_20230421",2,55.331321,64,11.774654,2
"38","11923_1_20230314",2,55.448065,157,24.208773,2
"39","11925_1_20230509",2,34.111619,101,16.982857,2
"40","11927_1_20230331",2,53.192538,119,33.078586,2
"41","11928_1_20230509",2,31.245632,257,24.772052,2
"42","11929_1_20230404",2,32.630195,201,19.791894,2
"43","11930_1_20230411",2,57.696661,131,21.023664,2
"44","11933_1_20230517",1,16.048203,404,40.274788,1
"45","11934_1_20230425",2,47.116741,163,18.143574,2
"46","11935_1_20230413",2,64.860554,214,20.374585,2
"47","11936_1_20230523",3,35.000525,95,15.375239,3
"48","11937_1_20230427",2,35.641457,124,21.010838,2
"49","11938_1_20232613",9,4.201759,97,15.502673,9
"50","11939_1_20230620",2,61.402294,221,28.355887,2
"51","11941_1_20230821",2,97.626136,186,33.070732,2
"52","11942_1_20230808",2,39.208257,69,12.012838,2
"53","11943_1_20230912",8,29.459942,40,10.47235,8
"54","11948_1_20230713",2,33.656636,70,27.115701,2
"55","11949_1_20230610",2,49.268449,41,10.965191,2
"56","11951_1_20230615",2,66.477183,238,27.197765,2
"57","11953_1_20230706",2,39.659744,56,14.307853,2
"58","11954_1_20230711",2,46.706135,16,21.141609,2
"59","11955_1_20230929",2,51.882245,4,20.002856,2
"60","11957_1_20230720",2,51.507453,119,21.378871,2
"61","11958_1_20230801",2,24.782903,61,7.232912,2
"62","11960_1_20230807",2,56.117367,218,25.17954,2
"63","11961_1_20230725",2,45.532677,116,14.964066,2
"64","11962_1_20230810",2,64.847057,157,33.896475,2
"65","11964_1_20230919",2,45.690442,144,21.084421,2
"66","11965_1_20230822",2,59.740406,269,25.541277,2
"67","11966_1_20230905",2,72.776109,227,34.03029,2
"68","11967_1_20231104",2,41.59075,176,15.658532,2
"69","11968_1_20230815",2,27.496378,78,23.310376,2
"70","11969_1_20230817",6,31.2887,42,20.095503,6
"71","11970_1_20230914",2,42.837742,264,49.526585,2
"72","11971_1_20230824",2,37.751678,150,19.03003,2
"73","11972_1_20230906",2,43.711002,260,36.931663,2
"74","11973_1_20240102",2,37.900042,115,31.756822,2
"75","11974_1_20231009",2,56.501773,262,30.005645,2
"76","11975_1_20231013",2,54.923636,58,20.567398,2
"77","11976_1_20230928",1,26.250388,318,23.985213,1
"78","11978_1_20231107",3,41.562271,175,24.878313,3
"79","11979_1_20231003",9,25.479709,4,3.211914,9
"80","11981_1_20231109",2,44.819315,194,17.140495,2
"81","11982_1_20240416",1,6.312126,232,21.258719,1
"82","11983_1_20231107",6,35.750216,126,21.799246,6
"83","11984_1_20240116",2,54.007649,117,20.218405,2
"84","11986_1_20231024",2,71.150461,204,29.127511,2
"85","11988_1_20231028",2,19.671808,261,38.246563,2
"86","11989_1_20231205",2,50.260087,197,23.603409,2
"87","11990_1_20231219",2,32.584127,148,22.385288,2
"88","11991_1_20240104",5,53.329381,203,27.469297,5
"89","11992_1_20240606",2,58.127666,210,28.621649,2
"90","11993_1_20240328",3,25.883273,110,11.335966,3
"91","11996_1_20240206",2,42.237514,225,30.490167,2
"92","11997_1_20240213",8,27.586427,208,21.25432,8
"93","11998_1_20240215",8,9.606793,93,23.20243,8
"94","12000_1_20240322",2,41.464055,79,18.907353,2
"95","12002_1_20240402",2,59.17885,269,24.977394,2
"96","12003_1_20240326",2,46.67716,245,26.998958,2
"97","12004_1_20240307",0,9.781849,43,13.085923,0
"98","12005_1_20240305",2,52.96608,136,18.554211,2
"99","12008_1_20240328",7,28.998147,229,11.520514,7
