sesid,run,acqtime_mr,acqtime_task,tdiff
11668_20240620,1,2024-06-20 13:33:19,2024-06-20 13:26:53,-386.701709985733
11668_20240620,2,2024-06-20 13:39:18,2024-06-20 13:32:52,-386.648210048676
11888_20240620,1,2024-06-20 17:33:11,2024-06-20 17:26:54,-377.689149856567
11888_20240620,2,2024-06-20 17:39:36,2024-06-20 17:33:20,-376.373149871826
11925_20230509,1,2023-05-09 19:11:04,2023-05-09 19:09:20,-104.258760213852
11925_20230509,2,2023-05-09 19:17:00,2023-05-09 19:15:16,-104.382760047913
11933_20230516,1,2023-05-16 19:17:02,2023-05-16 19:15:28,-94.0227200984955
11933_20230516,2,2023-05-16 19:23:07,2023-05-16 19:21:33,-93.5132200717926
11939_20230620,1,2023-06-20 19:13:59,2023-06-20 19:11:46,-133.083899974823
11939_20230620,2,2023-06-20 19:20:03,2023-06-20 19:17:50,-133.028899908066
11940_20230603,1,2023-06-03 18:43:21,2023-06-03 18:41:33,-108.772739887238
11940_20230603,2,2023-06-03 18:49:20,2023-06-03 18:47:32,-108.360239982605
11948_20230713,1,2023-07-13 18:17:05,2023-07-13 18:14:54,-131.090270042419
11948_20230713,2,2023-07-13 18:23:50,2023-07-13 18:21:39,-130.853270053864
11952_20230706,1,2023-07-06 18:33:25,2023-07-06 18:31:16,-128.155210018158
11952_20230706,2,2023-07-06 18:39:45,2023-07-06 18:37:36,-128.750210046768
11957_20230720,1,2023-07-20 13:35:42,2023-07-20 13:33:27,-134.489819765091
11957_20230720,2,2023-07-20 13:41:48,2023-07-20 13:39:40,-128.189320087433
11958_20230801,1,2023-08-01 17:24:59,2023-08-01 17:22:38,-140.646899938583
11958_20230801,2,2023-08-01 17:30:55,2023-08-01 17:28:50,-125.459399938583
11960_20230807,1,2023-08-07 15:38:34,2023-08-07 15:36:04,-149.679420232773
11960_20230807,2,2023-08-07 15:44:35,2023-08-07 15:42:05,-149.556419849396
11961_20230725,1,2023-07-25 19:40:10,2023-07-25 19:37:53,-137.118000030518
11961_20230725,1,2023-07-25 19:38:58,2023-07-25 19:37:53,-64.3129999637604
